# w1 w2 "Data Height"
 85.64 4.47 18076.21
 65.46 4.473 19928.67
 24.85 4.473 19389.49
 104.8 4.473 19126.51
 38.17 4.477 25593.46
 49.47 4.477 18956.08
 52.26 4.48 21715.3
 71.3 4.48 18540.02
 86.02 4.48 18249.76
 34.75 4.483 20249.9
 86.27 4.483 19526.8
 30.43 4.483 18356.97
 117.36 4.483 17930.36
 78.66 4.486 19185.75
 0.99 4.493 31736.31
 138.05 4.493 20034.75
 16.73 4.493 18899.18
 103.27 4.496 24581.72
 62.16 4.5 21987.45
 74.85 4.5 19902.9
 108.86 4.5 19710.38
 23.07 4.503 34409.51
 33.23 4.503 19764.73
 106.7 4.503 18691.97
 17.24 4.506 24854.14
 24.72 4.506 20118.85
 97.82 4.509 18747.08
 138.05 4.513 21446.66
 108.86 4.516 27243.37
 74.98 4.516 18785.9
 87.79 4.519 26023.22
 83.22 4.519 21884.44
 33.48 4.519 18703.16
 30.81 4.522 17456.81
 125.48 4.526 33488.55
 103.27 4.526 30666.98
 49.6 4.526 27837.87
 38.05 4.526 26415.76
 18.89 4.526 25666.76
 139.19 4.526 25503.42
 129.04 4.526 20174.28
 113.68 4.526 19366.64
 12.29 4.526 18698.74
 105.18 4.529 31963.45
 16.22 4.529 20286.1
 53.02 4.529 18987.6
 0.99 4.532 35407.71
 30.69 4.532 18381.94
 108.86 4.536 24343.11
 5.18 4.539 23330.82
 117.11 4.539 18233.53
 2.01 4.542 28599.47
 135.51 4.545 20543.95
 20.66 4.549 23423.61
 69.14 4.549 22991.79
 23.2 4.549 22893.21
 28.66 4.549 21787.8
 108.98 4.549 18510.94
 138.17 4.552 32753.71
 72.44 4.552 32437.24
 16.22 4.552 23988.59
 12.16 4.552 20543.45
 106.95 4.552 18535.21
 122.94 4.552 17604.85
 119.26 4.552 17385.85
 134.37 4.555 23486.06
 117.11 4.555 22368.84
 98.83 4.558 55640.23
 25.36 4.558 33137.57
 107.34 4.558 28740.87
 95.15 4.558 21454.97
 9.75 4.558 20107.74
 123.71 4.562 26053.79
 5.43 4.562 25719.18
 0.87 4.562 22075.6
 97.44 4.562 18107.67
 53.15 4.562 18024.96
 29.93 4.562 17950.99
 34.75 4.565 51778.47
 55.43 4.565 38089.4
 117.23 4.565 30457.74
 66.6 4.565 27303.69
 30.31 4.565 25418.72
 23.71 4.565 20400.66
 65.46 4.565 18688.63
 103.15 4.565 17567.36
 100.36 4.565 17432.88
 42.36 4.565 17415.18
 32.34 4.568 28138.13
 112.41 4.568 26448.98
 130.56 4.568 23159.93
 128.15 4.568 19551.72
 46.17 4.572 30454.28
 69.52 4.572 27190.33
 86.52 4.572 23197.39
 52.77 4.572 17422.4
 113.81 4.575 25996.17
 78.78 4.578 24090.17
 116.09 4.578 19385.69
 67.87 4.578 18988.69
 5.43 4.581 26860.16
 100.48 4.581 25241.95
 57.46 4.581 23750.98
 27.01 4.581 23298.17
 3.28 4.581 20067.28
 117.36 4.581 19781.94
 82.97 4.585 29818.14
 76.5 4.585 26515.22
 17.11 4.585 21779.14
 12.41 4.585 20009.12
 25.23 4.585 18356.14
 46.42 4.588 22527.72
 119.77 4.588 20967.81
 30.18 4.588 18199.02
 49.34 4.588 17988.31
 87.28 4.591 40475.81
 53.15 4.591 30276.97
 34.87 4.591 28934.09
 70.03 4.591 25999.55
 43.12 4.591 24278.47
 30.94 4.591 24197.76
 14.57 4.591 23854.61
 55.56 4.591 21233.09
 106.57 4.591 17487.74
 130.18 4.594 24285.68
 38.05 4.594 24037.63
 19.65 4.594 20515.96
 120.03 4.594 18008.48
 61.78 4.598 31656.72
 108.98 4.598 28921.7
 139.06 4.598 25775.06
 28.78 4.598 21958.78
 27.13 4.598 20617.35
 103.27 4.598 18427
 0.87 4.601 48545.22
 120.28 4.601 18649.33
 99.34 4.601 17955.87
 5.56 4.604 27828.41
 7.72 4.604 26605.34
 3.4 4.604 17455.2
 135 4.607 25592.81
 22.82 4.607 21301.84
 14.57 4.607 19420.42
 108.98 4.611 41631.72
 117.36 4.611 35888.21
 6.58 4.611 29872.25
 103.27 4.611 23214.09
 105.56 4.611 21853.89
 99.59 4.611 20372.54
 136.27 4.611 19454.46
 15.97 4.611 17592.9
 70.41 4.614 33208.13
 106.7 4.614 28536
 25.23 4.614 26238.67
 97.82 4.614 20889.23
 92.49 4.614 19172.75
 72.31 4.614 17816.29
 17.36 4.614 17790.7
 44.9 4.614 17700.64
 90.71 4.617 41769.54
 113.68 4.617 32297.89
 76.88 4.617 30283.43
 100.48 4.617 29623.12
 9.24 4.617 27551.34
 125.36 4.617 20707.93
 62.03 4.617 19026
 27.39 4.617 19020.32
 111.52 4.617 18764.3
 70.91 4.617 17851.64
 0.99 4.621 73040.22
 37.92 4.621 48024.31
 49.47 4.621 44992.38
 19.39 4.621 38786.69
 3.4 4.621 31207.1
 112.67 4.621 28783.11
 64.44 4.621 25621.47
 57.59 4.621 23024.76
 131.45 4.621 22985.56
 67.87 4.621 20431.96
 115.96 4.621 18158.59
 139.06 4.624 39054.75
 137.79 4.624 36922.87
 38.68 4.624 31230.05
 92.74 4.624 21444.53
 18.5 4.624 19754.86
 48.58 4.624 18518.15
 81.83 4.627 29830.13
 86.52 4.627 25925.97
 103.27 4.627 24257.03
 79.16 4.627 23151.14
 28.53 4.627 22466.99
 30.05 4.627 20829.21
 30.94 4.627 18861.33
 50.86 4.627 18856.93
 120.66 4.627 18733.73
 65.71 4.627 18670.51
 49.72 4.63 59453.23
 119.64 4.63 30873.57
 14.57 4.63 24571.9
 95.41 4.63 23059.31
 87.92 4.63 22762.31
 12.29 4.634 74752.96
 117.49 4.634 48111.1
 23.07 4.634 30225.84
 128.02 4.634 30000.15
 65.84 4.637 42774.92
 50.99 4.637 33371.16
 64.7 4.637 31866.19
 73.2 4.637 30049.52
 7.46 4.637 22123.42
 75.1 4.637 20368.95
 6.32 4.637 18497.37
 38.17 4.64 35886.06
 30.05 4.64 30192.12
 5.18 4.64 28486.14
 139.19 4.64 23742.45
 120.66 4.64 20235.36
 116.09 4.64 19759.58
 14.57 4.643 70717.68
 103.27 4.643 53649.62
 100.74 4.643 42270.72
 133.1 4.643 28572.67
 39.44 4.643 24399.36
 82.08 4.643 24336.73
 98.83 4.647 1135051.38
 108.98 4.647 62745.55
 101.88 4.647 32480.17
 53.15 4.647 29845.85
 22.44 4.647 29772.13
 68 4.647 22194.7
 57.72 4.647 19332.06
 72.44 4.647 18450.81
 30.56 4.65 52464.59
 100.1 4.65 50962.02
 77.01 4.65 50694.1
 105.18 4.65 27618.23
 55.69 4.65 24580.46
 14.57 4.653 50755.36
 103.27 4.653 35999.44
 42.11 4.653 26420.63
 30.18 4.653 22692.9
 106.83 4.653 20714.52
 46.04 4.657 34189.93
 24.6 4.657 28836.38
 38.17 4.657 25806.24
 117.36 4.657 24897.01
