#       w          Data Heig
                
   27.474-1.8671       13652
   27.232 2.3409       23014
   26.874 2.2579      103336
   26.885 1.6959       23516
   26.836 1.6189       45820
    26.75 4.2519       14411
   26.727 2.7069       20912
   26.602 2.0089       15047
    26.41 2.3709       16699
   26.433 2.3249       18537
   26.365 2.3119       19663
   26.512 2.2559       78384
   26.461 2.2059       15941
   26.302 1.9849       20924
   26.533 1.9389       13429
   26.227 4.0949       12909
   26.242 3.4539       12809
   26.192 2.6839       14153
   26.215 2.3409       25803
   26.243 2.1719       13419
    25.92 4.0839       14151
   25.892 3.1389       12937
   25.911 2.6189       13187
   25.899 2.2549      137366
   25.809 1.9119       26887
   25.708 2.7059       26792
   25.642 2.4449       14731
   25.628 2.3559       18869
   25.481 2.1309       18037
   25.292 2.5709       23857
   25.325 2.5289       21925
   25.385 2.5069       15218
   25.232 2.2019       53081
   25.316 2.1459       15567
   25.349 1.2389       13650
   24.988 3.1249       21094
    24.92 2.6899       94441
   25.037 2.6589       43340
   25.083 2.4069       38605
   24.927 2.3919       58567
    25.15 2.3799       24345
   25.004 2.3379      165959
   25.013 2.3189       99026
   24.916 2.3039      165938
   24.945 2.2909      152550
   24.993 2.2749      276624
   24.991 2.2309      226983
   25.012 2.1129       52575
   24.953 1.8749       32948
   24.953 1.8609       25852
   25.009 0.4609       14364
   24.726 4.0469       19773
   24.857 3.5929       25158
   24.893 3.1429       70146
   24.881 2.7959       39821
   24.906 2.6179      117303
   24.883 2.4299      192476
   24.855 2.2539    13746906
   24.856 2.1649      197482
   24.846 2.0789      162863
   24.899 1.8919      105925
   24.837 1.8169       88609
   24.776 1.7129       31335
   24.846 1.3869       19941
   24.864 1.3669       76561
    24.72 0.9509       61926
   24.851 0.9139       25237
   24.453 4.1439       15480
   24.422 1.1959       13454
   24.204 1.8029       74011
   24.334 1.4269       14717
   23.984 2.7069       21934
   23.889 2.2559       62810
   23.752 1.3229       14178
   23.545 0.9769       20273
   23.598 0.9379       54303
   23.296 2.2579       23143
   23.277 1.8039      167254
   23.144 3.8689       14052
   23.239 1.8309      171222
   23.231 0.9019      130402
   23.058 0.8479      183735
   22.856 4.2199       14081
    22.79 4.1129       28144
   22.881 3.6209       13703
   22.858 2.2599       36918
   22.838 1.6749       15444
   22.786 1.5059       14250
    22.77 1.4119       17359
    22.78 1.3809       13485
   22.801 1.3219     1044295
   22.374 3.8329       15941
   22.079 3.6599       13035
   21.991 1.2789       61923
   21.947 1.1899       19448
   21.634 2.2599       35573
   21.504 0.9179       14063
   20.694 1.1889       28198
   20.704 1.1329      127007
   20.725 1.0179       95119
   19.247 1.5109       13234
   19.294 1.4769       13066
   19.257 1.4509      133376
   19.285 0.9639       96470
   18.544 4.1269       14357
   17.611-1.7441       16197
   17.409 3.4539       13420
   17.428 0.9879       30032
   16.409 2.6709       39974
   16.408 0.8329       27174
   15.936 4.0849       15176
   14.582 4.1589       18492
   14.542 4.0879       14425
   14.538 3.8839       14418
   14.409 4.2819       22239
   14.322 4.0109       17206
   14.392 3.1039       12870
   12.131 4.0819       16935
   12.096 3.8989       13255
   12.308 0.5989       16635
   11.919 4.2839       15919
   12.003 4.2649       14879
   12.055 4.2439       14367
   12.002 4.1839       14327
   11.966 4.0279       13614
   11.959 3.7749       14280
    8.579 4.0979       13170
    7.319 4.2709       15318
     6.47 0.1239       13049
    6.128 2.4309       13237
    6.111 2.2619       25159
     5.41 4.2599       15115
    5.264 4.2089       13006
    5.302 4.0809       18725
    5.315 2.2659       41004
    4.879 2.2589       71894
  131.876 5.7299       14369
  129.205 5.6579       16852
  128.907 7.1419       13211
  129.076 5.6359       12969
  125.989 6.5489       15323
  125.975 5.8179       13155
  125.355 7.1409       32876
  124.512 7.1409      297258
  124.571 6.8739       14923
  123.907 8.9569       14244
  122.018 6.0629       13137
  121.825 6.7179       12845
  121.757 5.7309       14277
  121.788 5.6009       12914
   119.06 8.3229       13233
  118.845 6.8509       21732
  118.511 6.0869       13093
  115.224 7.8979       12812
  104.998 6.1589       13124
  102.433 8.9579       16553
  100.685 9.4209       14843
    98.49 7.3109       14855
   96.079 5.6729       16000
